business_id,evidence_group,candidate_id,valid,heuristic_score,budget-reduction_loss,fixed-budget-mix_loss,budget-growth_loss,economic-ceiling_loss,budget-reduction_uncapped_loss,fixed-budget-mix_uncapped_loss,budget-growth_uncapped_loss,economic-ceiling_uncapped_loss,mean_loss,p90_loss,risk,uncapped_mean_loss,uncapped_p90_loss,uncapped_risk
amss-v10-084,no-experiment,V6-C13 · experiments-only,true,42.27566744060557,0.08642123966940832,0.03185341656616496,0.0001867505299142335,0.01748879944519294,0.08642123966940832,0.03185341656616496,0.0001867505299142335,0.01748879944519294,0.033987551552670116,0.07005089273843532,0.04660972096768794,0.033987551552670116,0.07005089273843532,0.04660972096768794
amss-v10-084,no-experiment,V6-C14 · benchmark-gap-fill,true,83.50707951221777,0.49937024614285963,0.30737319209561415,0.341947324859886,0.6645464927987124,0.49937024614285963,0.30737319209561415,0.341947324859886,0.6645464927987124,0.45330931397426805,0.6149936188019566,0.509898820663959,0.45330931397426805,0.6149936188019566,0.509898820663959
amss-v10-084,no-experiment,V6-C14 · experiments-only,true,60.54153301635593,0.359185557528588,0.13420595096616195,0.1779122005251745,0.5431030111816563,0.359185557528588,0.13420595096616195,0.1779122005251745,0.5431030111816563,0.3036016800503952,0.4879277750857358,0.36811581331276444,0.3036016800503952,0.4879277750857358,0.36811581331276444
amss-v10-084,no-experiment,V6-C15 · benchmark-gap-fill,true,71.59043064169043,0.3763566028326418,0.13705745859708063,0.17821610421855882,0.40670537216890157,0.3763566028326418,0.13705745859708063,0.17821610421855882,0.40670537216890157,0.2745838844542957,0.39760074136802365,0.3176397843741005,0.2745838844542957,0.39760074136802365,0.3176397843741005
amss-v10-084,no-experiment,V6-C15 · experiments-only,true,50.41577697152078,0.0000752660128651974,0,0.006102432157882914,0,0.0000752660128651974,0,0.006102432157882914,0,0.0015444245426870279,0.0042942823143775994,0.0025068747627787283,0.0015444245426870279,0.0042942823143775994,0.0025068747627787283
amss-v10-084,no-experiment,V6-C16 · benchmark-gap-fill,true,79.42984859690323,1,0.5613211734146619,0.583632395404658,1,1.18079565739558,0.5613211734146619,0.583632395404658,1.4840394675530513,0.7862383922048299,1,0.8610549549331394,0.9524471734419879,1.39306632450581,1.1066638763143257
amss-v10-084,no-experiment,V6-C16 · experiments-only,true,61.40008146863083,0.9923367809821397,0.5613211734146619,0.583632395404658,1,0.9923367809821397,0.5613211734146619,0.583632395404658,1.2879662055007683,0.784322587450365,0.997701034294642,0.8590050438458618,0.8563141388255571,1.1992773781451798,0.976351272587425
amss-v10-084,no-experiment,V6-C17 · benchmark-gap-fill,true,67.24589413954442,1,1,1,1,2.2269405646291074,1.599234446511807,1.570830503489472,2.247028172457257,1,1,1,1.911008421771911,2.2410018901088122,2.0265061356898264
amss-v10-084,no-experiment,V6-C17 · experiments-only,true,44.831559598600286,0.03037925653705239,0.03185341656616496,0.0001867505299142335,0.012808820893411536,0.03037925653705239,0.03185341656616496,0.0001867505299142335,0.012808820893411536,0.01880706113163578,0.03141116855743119,0.023218498730664172,0.01880706113163578,0.03141116855743119,0.023218498730664172
amss-v10-084,no-experiment,V6-C18 · benchmark-gap-fill,true,84.62555588944954,0.3227421787893922,0.30737319209561415,0.341947324859886,0.490660790147598,0.3227421787893922,0.30737319209561415,0.341947324859886,0.490660790147598,0.36568087147312256,0.4460467505612844,0.3938089291539792,0.36568087147312256,0.4460467505612844,0.3938089291539792
amss-v10-084,no-experiment,V6-C18 · experiments-only,true,62.4382347744004,0.3227421787893922,0.13662448727063248,0.17824863380924785,0.490660790147598,0.3227421787893922,0.13662448727063248,0.17824863380924785,0.490660790147598,0.2820690225042176,0.44028520674013627,0.33744468698678914,0.2820690225042176,0.44028520674013627,0.33744468698678914
amss-v10-084,no-experiment,V6-C19 · benchmark-gap-fill,true,73.9799139473994,0.9449400935003257,0.821314635915795,0.8300353214641627,0.9446190625301643,0.9449400935003257,0.821314635915795,0.8300353214641627,0.9446190625301643,0.8852272783526121,0.9448437842092772,0.9060930554024449,0.8852272783526121,0.9448437842092772,0.9060930554024449
